group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
validation_informed,lcd_only,bicg-l01,2,1.0,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,lcd_only,bicg-l01,4,0.625,350537,2.6743850708007812,0.625,0.5775166275929902,1.0822199225759335
validation_informed,lcd_only,bicg-l01,8,0.5,341400,2.60467529296875,0.5,0.56246323971577,1.12492647943154
validation_informed,lcd_only,bicg-l01,16,0.375,328917,2.5094375610351562,0.375,0.5418972507838076,1.4450593354234869
validation_informed,lcd_only,gemver-l00,2,0.25,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,lcd_only,gemver-l00,4,0.125,363914,2.7764434814453125,0.5,0.5596765412428371,1.1193530824856741
validation_informed,lcd_only,gemver-l00,8,0.1875,335283,2.5580062866210938,0.75,0.5156438877798659,1.4544921752668643
validation_informed,lcd_only,gemver-l00,16,0.09375,322317,2.4590835571289062,0.375,0.4957030060502413,1.3218746828006436
validation_informed,max_tp_lcd,bicg-l01,2,1.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,max_tp_lcd,bicg-l01,4,0.75,350537,2.6743850708007812,0.5,0.5775166275929902,1.1550332551859803
validation_informed,max_tp_lcd,bicg-l01,8,0.9375,341400,2.60467529296875,0.625,0.56246323971577,1.1111837287639132
validation_informed,max_tp_lcd,bicg-l01,16,0.84375,328917,2.5094375610351562,0.5625,0.5418972507838076,1.038019659975009
validation_informed,max_tp_lcd,gemver-l00,2,1.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,max_tp_lcd,gemver-l00,4,0.75,363914,2.7764434814453125,0.5,0.5596765412428371,1.1193530824856741
validation_informed,max_tp_lcd,gemver-l00,8,0.6875,335283,2.5580062866210938,0.4583333333333333,0.5156438877798659,1.1250412097015257
validation_informed,max_tp_lcd,gemver-l00,16,0.59375,322317,2.4590835571289062,0.3958333333333333,0.4957030060502413,1.252302331074294
