round,failures,group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
round-09-full-evl,"[{""error"": ""assembly exit 1"", ""kernel"": ""s1111"", ""mode"": ""expanded""}, {""error"": ""assembly exit 1"", ""kernel"": ""gesummv-l00"", ""mode"": ""expanded""}]",core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
round-09-full-evl,"[{""error"": ""assembly exit 1"", ""kernel"": ""s1111"", ""mode"": ""expanded""}, {""error"": ""assembly exit 1"", ""kernel"": ""gesummv-l00"", ""mode"": ""expanded""}]",core,automatic,"{""gesummv-l00"": null, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": null, ""s125"": 16, ""s311"": 16, ""s4112"": 16}","[""s1111: actual selection absent or outside measured candidates: None"", ""gesummv-l00: actual selection absent or outside measured candidates: None""]",5/7,not applicable,not applicable,,,,,,
round-09-full-evl,"[{""error"": ""assembly exit 1"", ""kernel"": ""s1111"", ""mode"": ""expanded""}, {""error"": ""assembly exit 1"", ""kernel"": ""gesummv-l00"", ""mode"": ""expanded""}]",validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-09-full-evl,"[{""error"": ""assembly exit 1"", ""kernel"": ""s1111"", ""mode"": ""expanded""}, {""error"": ""assembly exit 1"", ""kernel"": ""gesummv-l00"", ""mode"": ""expanded""}]",validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-09b-full-evl,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
round-09b-full-evl,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 4, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0451299989742773,1.2262915087258146,,,,
round-09b-full-evl,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-09b-full-evl,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-10-strided-pressure,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
round-10-strided-pressure,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 4, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0451299989742773,1.2262915087258146,,,,
round-10-strided-pressure,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-10-strided-pressure,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-10-no-strided-pressure,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
